uni_id	FCA_id	FCA_name	steps_from_Eukaryota
Q8N3D4	33208	Metazoa	2
Q9NR50	2759	Eukaryota	0
P56915	2759	Eukaryota	0
Q96QA5	33213	Bilateria	4
Q8TAX9	33213	Bilateria	4
Q9BYG8	33213	Bilateria	4
Q8TC29	33208	Metazoa	2
P48506	2759	Eukaryota	0
P13929	2759	Eukaryota	0
Q7L5Y1	2759	Eukaryota	0
P48637	2759	Eukaryota	0
P49841	2759	Eukaryota	0
Q92896	6072	Eumetazoa	3
P08263	2759	Eukaryota	0
Q5MY95	2759	Eukaryota	0
Q8IYW4	2759	Eukaryota	0
Q8NBJ5	2759	Eukaryota	0
Q9UHL9	6072	Eumetazoa	3
Q9UM22	33154	Opisthokonta	1
Q9H2F5	2759	Eukaryota	0
Q8TD20	2759	Eukaryota	0
P54753	33154	Opisthokonta	1
P11166	2759	Eukaryota	0
P11168	2759	Eukaryota	0
Q9UGQ3	2759	Eukaryota	0
Q6PXP3	2759	Eukaryota	0
Q9NRM0	2759	Eukaryota	0
Q9NQ60	33213	Bilateria	4
Q9Y6I3	2759	Eukaryota	0
Q9NZ08	2759	Eukaryota	0
P19235	33213	Bilateria	4
P18074	2759	Eukaryota	0
Q9H6Z9	2759	Eukaryota	0
Q9H9B1	2759	Eukaryota	0
Q9HBU6	2759	Eukaryota	0
P0C7U0	33208	Metazoa	2
Q15717	2759	Eukaryota	0
P07492	33213	Bilateria	4
Q14576	2759	Eukaryota	0
Q15723	2759	Eukaryota	0
Q9HB65	2759	Eukaryota	0
Q99607	2759	Eukaryota	0
P55199	2759	Eukaryota	0
Q8IZ81	2759	Eukaryota	0
Q96FG2	2759	Eukaryota	0
Q8NG57	2759	Eukaryota	0
Q96BJ8	2759	Eukaryota	0
P08246	2759	Eukaryota	0
Q9NYP7	2759	Eukaryota	0
Q00013	2759	Eukaryota	0
Q32P44	33208	Metazoa	2
Q05BV3	33208	Metazoa	2
Q8N766	2759	Eukaryota	0
A4GXA9	2759	Eukaryota	0
Q9H4I9	33208	Metazoa	2
Q7Z589	2759	Eukaryota	0
Q04741	2759	Eukaryota	0
Q04743	2759	Eukaryota	0
P21128	2759	Eukaryota	0
Q8N8Q3	2759	Eukaryota	0
P30711	2759	Eukaryota	0
Q9Y5L3	2759	Eukaryota	0
